"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"1","P7","22plus5","Polyhexose",1089.499,"0-0-0-5",50.507175275672,0.981940035122677
"2","P7","22plus5","Paucimannose",1141.5416,"1-2-0-2",118.439612305134,0.990063982172007
"3","P7","22plus5","Paucimannose",1171.5522,"0-2-0-3",21.4602913695713,0.978428769809212
"4","P7","22plus5","Polyhexose",1293.5988,"0-0-0-6",44.7548152836866,0.986327218694954
"5","P7","22plus5","Paucimannose",1345.6414,"1-2-0-3",36.7273956600028,0.986751958206926
"6","P7","22plus5","Truncated",1416.6786,"0-3-0-3",15.8844223877766,0.984335124292518
"7","P7","22plus5","Polyhexose",1497.6986,"0-0-0-7",37.4281572515745,0.992290785898221
"8","P7","22plus5","High mannose",1579.752,"0-2-0-5",588.820793601965,0.992116505946696
"9","P7","22plus5","Truncated",1590.7678,"1-3-0-3",44.3455480706069,0.923987863683849
"10","P7","22plus5","Truncated",1620.7784,"0-3-0-4",19.8430892104487,0.982370152990886
"11","P7","22plus5","Truncated",1661.805,"0-4-0-3",14.3749348042014,0.975934095395994
"12","P7","22plus5","Polyhexose",1701.7984,"0-0-0-8",29.8228165577201,0.997340911717967
"13","P7","22plus5","High mannose",1783.852,"0-2-0-6",1108.83863138572,0.993355116853019
"14","P7","22plus5","Truncated",1794.8676,"1-3-0-4",92.0066726661102,0.969340810147569
"15","P7","22plus5","Hybrid",1824.8782,"0-3-0-5",25.7367305907514,0.992260707194203
"16","P7","22plus5","Truncated",1835.8942,"1-4-0-3",68.5027193820072,0.994435490310301
"17","P7","22plus5","Truncated",1865.9048,"0-4-0-4",45.6407960710012,0.991639329733896
"18","P7","22plus5","Polyhexose",1905.8982,"0-0-0-9",23.7602632183987,0.995472003900879
"19","P7","22plus5","Truncated",1906.9314,"0-5-0-3",37.8772997009083,0.995472003900879
"20","P7","22plus5","Truncated",1981.9522,"0-3-1-4",38.5988995225393,0.928853003293993
"21","P7","22plus5","High mannose",1987.951,"0-2-0-7",653.161073860889,0.986971027208246
"22","P7","22plus5","Hybrid",1998.9674,"1-3-0-5",45.6091554915899,0.970943532901561
"23","P7","22plus5","Hybrid",2028.978,"0-3-0-6",22.9970799154451,0.968014503036347
"24","P7","22plus5","Truncated",2039.994,"1-4-0-4",249.165214025846,0.985221423851906
"25","P7","22plus5","Bi",2070.0046,"0-4-0-5",143.030946201179,0.987833704897071
"26","P7","22plus5","Truncated",2081.0206,"1-5-0-3",55.9591854975138,0.899521231661676
"27","P7","22plus5","Polyhexose",2109.998,"0-0-0-10",18.9874114755338,0.994511666498223
"28","P7","22plus5","Truncated",2111.0312,"0-5-0-4",41.6562139237134,0.994511666498223
"29","P7","22plus5","Mono",2156.0414,"1-3-1-4",452.458503720652,0.989283572986985
"30","P7","22plus5","High mannose",2192.051,"0-2-0-8",550.708958536052,0.98591650884552
"31","P7","22plus5","Hybrid",2203.0672,"1-3-0-6",39.1656262426483,0.963140870006771
"32","P7","22plus5","Truncated",2227.0786,"0-4-1-4",44.4562721342115,0.733109944373425
"33","P7","22plus5","Bi",2244.0938,"1-4-0-5",464.927719990201,0.989556242594749
"34","P7","22plus5","Truncated",2285.1204,"1-5-0-4",179.666356790535,0.985327037263531
"35","P7","22plus5","Polyhexose",2314.0978,"0-0-0-11",17.8553485527608,0.987059679341369
"36","P7","22plus5","Bi",2315.131,"0-5-0-5",64.136940625914,0.987059679341369
"37","P7","22plus5","Hybrid",2377.1564,"2-3-0-6",15.6909218809708,0.00930169985676851
"38","P7","22plus5","Hybrid",2390.1518,"0-3-1-6",22.9330627162217,0.800226113172317
"39","P7","22plus5","High mannose",2396.151,"0-2-0-9",326.155975135485,0.927721111379447
"40","P7","22plus5","Truncated",2401.1678,"1-4-1-4",90.0850060709784,0.987003247094756
"41","P7","22plus5","Bi",2418.183,"2-4-0-5",271.273325455547,0.973011132224774
"42","P7","22plus5","Bi",2431.1784,"0-4-1-5",361.850611034231,0.983618814962885
"43","P7","22plus5","Bi",2448.1936,"1-4-0-6",63.3943557061667,0.808053499921226
"44","P7","22plus5","LacdiNAc",2459.2096,"2-5-0-4",98.0600057114541,0.994223773578655
"45","P7","22plus5","Truncated",2472.205,"0-5-1-4",24.9486711810035,0.213961242846349
"46","P7","22plus5","Bi",2489.2202,"1-5-0-5",339.854740044144,0.98813540916981
"47","P7","22plus5","LacdiNAc",2500.2362,"2-6-0-3",65.3399779028381,0.41053806576946
"48","P7","22plus5","Polyhexose",2518.1976,"0-0-0-12",25.1793320895791,0.993797572637039
"49","P7","22plus5","Tri",2519.2308,"0-5-0-6",37.7644769014794,0.993797572637039
"50","P7","22plus5","Hybrid",2551.2456,"3-3-0-6",4.82318653743086,0.293199690002853
"51","P7","22plus5","Hybrid",2564.241,"1-3-1-6",28.5134161227302,0.972065195800675
"52","P7","22plus5","Bi",2592.2722,"3-4-0-5",117.977792603567,0.973002403105207
"53","P7","22plus5","Bi",2605.2676,"1-4-1-5",461.660950169828,0.992514255603954
"54","P7","22plus5","Bi",2622.2828,"2-4-0-6",80.9232452004216,0.736524574385241
"55","P7","22plus5","LacdiNAc",2633.2988,"3-5-0-4",60.5703946302755,0.983485598057561
"56","P7","22plus5","Truncated",2646.2942,"1-5-1-4",52.4504320209119,0.893261249395051
"57","P7","22plus5","Bi",2663.3094,"2-5-0-5",145.505674857656,0.980804915272125
"58","P7","22plus5","LacdiNAc",2674.3254,"3-6-0-3",41.162021535003,0.921042206534196
"59","P7","22plus5","Bi",2676.3048,"0-5-1-5",60.6725487331398,0.921042206534196
"60","P7","22plus5","Tri",2693.32,"1-5-0-6",74.6290130942062,0.957386598826008
