"","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex"
"1","Polyhexose",1089.499,"0-0-0-5"
"2","Paucimannose",1141.5416,"1-2-0-2"
"3","Paucimannose",1171.5522,"0-2-0-3"
"4","Polyhexose",1293.5988,"0-0-0-6"
"5","Paucimannose",1345.6414,"1-2-0-3"
"6","Truncated",1416.6786,"0-3-0-3"
"7","Polyhexose",1497.6986,"0-0-0-7"
"8","High mannose",1579.752,"0-2-0-5"
"9","Truncated",1590.7678,"1-3-0-3"
"10","Truncated",1620.7784,"0-3-0-4"
"11","Truncated",1661.805,"0-4-0-3"
"12","Polyhexose",1701.7984,"0-0-0-8"
"13","High mannose",1783.852,"0-2-0-6"
"14","Truncated",1794.8676,"1-3-0-4"
"15","Hybrid",1824.8782,"0-3-0-5"
"16","Truncated",1835.8942,"1-4-0-3"
"17","Truncated",1865.9048,"0-4-0-4"
"18","Polyhexose",1905.8982,"0-0-0-9"
"19","Truncated",1906.9314,"0-5-0-3"
"20","Truncated",1981.9522,"0-3-1-4"
"21","High mannose",1987.951,"0-2-0-7"
"22","Hybrid",1998.9674,"1-3-0-5"
"23","Hybrid",2028.978,"0-3-0-6"
"24","Truncated",2039.994,"1-4-0-4"
"25","Bi",2070.0046,"0-4-0-5"
"26","Truncated",2081.0206,"1-5-0-3"
"27","Polyhexose",2109.998,"0-0-0-10"
"28","Truncated",2111.0312,"0-5-0-4"
"29","Mono",2156.0414,"1-3-1-4"
"30","High mannose",2192.051,"0-2-0-8"
"31","Hybrid",2203.0672,"1-3-0-6"
"32","Truncated",2227.0786,"0-4-1-4"
"33","Bi",2244.0938,"1-4-0-5"
"34","Truncated",2285.1204,"1-5-0-4"
"35","Polyhexose",2314.0978,"0-0-0-11"
"36","Bi",2315.131,"0-5-0-5"
"37","Hybrid",2377.1564,"2-3-0-6"
"38","Hybrid",2390.1518,"0-3-1-6"
"39","High mannose",2396.151,"0-2-0-9"
"40","Truncated",2401.1678,"1-4-1-4"
"41","Bi",2418.183,"2-4-0-5"
"42","Bi",2431.1784,"0-4-1-5"
"43","Bi",2448.1936,"1-4-0-6"
"44","LacdiNAc",2459.2096,"2-5-0-4"
"45","Truncated",2472.205,"0-5-1-4"
"46","Bi",2489.2202,"1-5-0-5"
"47","LacdiNAc",2500.2362,"2-6-0-3"
"48","Polyhexose",2518.1976,"0-0-0-12"
"49","Tri",2519.2308,"0-5-0-6"
"50","Hybrid",2551.2456,"3-3-0-6"
"51","Hybrid",2564.241,"1-3-1-6"
"52","Bi",2592.2722,"3-4-0-5"
"53","Bi",2605.2676,"1-4-1-5"
"54","Bi",2622.2828,"2-4-0-6"
"55","LacdiNAc",2633.2988,"3-5-0-4"
"56","Truncated",2646.2942,"1-5-1-4"
"57","Bi",2663.3094,"2-5-0-5"
"58","LacdiNAc",2674.3254,"3-6-0-3"
"59","Bi",2676.3048,"0-5-1-5"
"60","Tri",2693.32,"1-5-0-6"
"61","Polyhexose",2722.2974,"0-0-0-13"
"62","Bi",2734.3466,"1-6-0-5"
"63","Hybrid",2738.3302,"2-3-1-6"
"64","Tri",2764.3572,"0-6-0-6"
"65","Bi",2766.3614,"4-4-0-5"
"66","Bi",2779.3568,"2-4-1-5"
"67","Bi",2792.3522,"0-4-2-5"
"68","Bi",2796.372,"3-4-0-6"
"69","LacdiNAc",2807.388,"4-5-0-4"
"70","Bi",2809.3674,"1-4-1-6"
"71","LacdiNAc",2820.3834,"2-5-1-4"
"72","Bi",2826.3826,"2-4-0-7"
"73","Bi",2837.3986,"3-5-0-5"
"74","LacdiNAc",2848.4146,"4-6-0-3"
"75","Bi",2850.394,"1-5-1-5"
"76","LacdiNAc",2861.41,"2-6-1-3"
"77","Tri",2867.4092,"2-5-0-6"
"78","Tri",2880.4046,"0-5-1-6"
"79","Tri",2897.4198,"1-5-0-7"
"80","Bi",2908.4358,"2-6-0-5"
"81","Polyhexose",2926.3972,"0-0-0-14"
"82","Tri",2938.4464,"1-6-0-6"
"83","Bi",2940.4506,"5-4-0-5"
"84","Bi",2953.446,"3-4-1-5"
"85","Bi",2966.4414,"1-4-2-5"
"86","Tetra",2968.457,"0-6-0-7"
"87","Bi",2970.4612,"4-4-0-6"
"88","LacdiNAc",2981.4772,"5-5-0-4"
"89","Bi",2983.4566,"2-4-1-6"
"90","LacdiNAc",2994.4726,"3-5-1-4"
"91","Bi",3000.4718,"3-4-0-7"
"92","Bi",3011.4878,"4-5-0-5"
"93","LacdiNAc",3022.5038,"5-6-0-3"
"94","Bi",3024.4832,"2-5-1-5"
"95","LacdiNAc",3035.4992,"3-6-1-3"
"96","Bi",3037.4786,"0-5-2-5"
"97","Tri",3041.4984,"3-5-0-6"
"98","Tri",3054.4938,"1-5-1-6"
"99","Tri",3071.509,"2-5-0-7"
"100","Bi",3082.525,"3-6-0-5"
"101","Bi",3095.5204,"1-6-1-5"
"102","Tri",3112.5356,"2-6-0-6"
"103","Tri",3125.531,"0-6-1-6"
"104","Bi",3127.5352,"4-4-1-5"
"105","Polyhexose",3130.497,"0-0-0-15"
"106","Bi",3140.5306,"2-4-2-5"
"107","Tetra",3142.5462,"1-6-0-7"
"108","Bi",3144.5504,"5-4-0-6"
"109","Bi",3153.5622,"2-7-0-5"
"110","Bi",3157.5458,"3-4-1-6"
"111","Bi",3174.561,"4-4-0-7"
"112","Tri",3183.5728,"1-7-0-6"
"113","Bi",3185.577,"5-5-0-5"
"114","Bi",3198.5724,"3-5-1-5"
"115","Bi",3211.5678,"1-5-2-5"
"116","Tetra",3213.5834,"0-7-0-7"
"117","Tri",3215.5876,"4-5-0-6"
"118","Tri",3228.583,"2-5-1-6"
"119","Tri",3241.5784,"0-5-2-6"
"120","Tri",3245.5982,"3-5-0-7"
"121","Bi",3256.6142,"4-6-0-5"
"122","Tri",3258.5936,"1-5-1-7"
"123","Bi",3269.6096,"2-6-1-5"
"124","Tri",3275.6088,"2-5-0-8"
"125","Tri",3286.6248,"3-6-0-6"
"126","Tri",3299.6202,"1-6-1-6"
"127","Bi",3314.6198,"3-4-2-5"
"128","Tetra",3316.6354,"2-6-0-7"
"129","Bi",3327.6514,"3-7-0-5"
"130","Tetra",3329.6308,"0-6-1-7"
"131","Bi",3331.635,"4-4-1-6"
"132","Polyhexose",3334.5968,"0-0-0-16"
"133","Tetra",3346.646,"1-6-0-8"
"134","Bi",3348.6502,"5-4-0-7"
"135","Tri",3357.662,"2-7-0-6"
"136","Bi",3372.6616,"4-5-1-5"
"137","Bi",3385.657,"2-5-2-5"
"138","Tetra",3387.6726,"1-7-0-7"
"139","Tri",3389.6768,"5-5-0-6"
"140","Tri",3402.6722,"3-5-1-6"
"141","Tri",3415.6676,"1-5-2-6"
"142","Penta",3417.6832,"0-7-0-8"
"143","Tri",3419.6874,"4-5-0-7"
"144","Bi",3430.7034,"5-6-0-5"
"145","Tri",3432.6828,"2-5-1-7"
"146","Bi",3443.6988,"3-6-1-5"
"147","Tri",3449.698,"3-5-0-8"
"148","Tri",3460.714,"4-6-0-6"
"149","Tri",3473.7094,"2-6-1-6"
"150","Tri",3486.7048,"0-6-2-6"
"151","Tetra",3490.7246,"3-6-0-7"
"152","Bi",3501.7406,"4-7-0-5"
"153","Tetra",3503.72,"1-6-1-7"
"154","Tetra",3520.7352,"2-6-0-8"
"155","Tri",3531.7512,"3-7-0-6"
"156","Polyhexose",3538.6966,"0-0-0-17"
"157","Tri",3544.7466,"1-7-1-6"
"158","Bi",3559.7462,"3-5-2-5"
"159","Tetra",3561.7618,"2-7-0-7"
"160","Tri",3563.766,"6-5-0-6"
"161","Tetra",3574.7572,"0-7-1-7"
"162","Tri",3576.7614,"4-5-1-6"
"163","Tri",3589.7568,"2-5-2-6"
"164","Penta",3591.7724,"1-7-0-8"
"165","Tri",3593.7766,"5-5-0-7"
"166","Tri",3602.7522,"0-5-3-6"
"167","Tri",3606.772,"3-5-1-7"
"168","Bi",3617.788,"4-6-1-5"
"169","Tri",3619.7674,"1-5-2-7"
"170","Tri",3623.7872,"4-5-0-8"
"171","Tetra",3632.799,"1-8-0-7"
"172","Tri",3634.8032,"5-6-0-6"
"173","Tri",3636.7826,"2-5-1-8"
"174","Tri",3647.7986,"3-6-1-6"
"175","Tri",3653.7978,"3-5-0-9"
"176","Tri",3660.794,"1-6-2-6"
"177","Penta",3662.783,"0-8-0-8"
"178","Tetra",3664.8138,"4-6-0-7"
"179","Bi",3675.8298,"5-7-0-5"
"180","Tetra",3677.8092,"2-6-1-7"
"181","Tetra",3690.8046,"0-6-2-7"
"182","Tetra",3694.8244,"3-6-0-8"
"183","Tri",3705.8404,"4-7-0-6"
"184","Tetra",3707.8198,"1-6-1-8"
"185","Tri",3718.8358,"2-7-1-6"
"186","Tetra",3724.835,"2-6-0-9"
"187","Tetra",3735.851,"3-7-0-7"
"188","Tri",3737.8552,"7-5-0-6"
"189","Polyhexose",3742.7964,"0-0-0-18"
"190","Tetra",3748.8464,"1-7-1-7"
"191","Tri",3750.8506,"5-5-1-6"
"192","Tri",3763.846,"3-5-2-6"
"193","Penta",3765.8616,"2-7-0-8"
"194","Tri",3767.8658,"6-5-0-7"
"195","Tri",3776.8414,"1-5-3-6"
"196","Penta",3778.857,"0-7-1-8"
"197","Tri",3780.8612,"4-5-1-7"
"198","Tri",3793.8566,"2-5-2-7"
"199","Penta",3795.8988,"1-7-0-9"
"200","Tri",3797.8764,"5-5-0-8"
"201","Tetra",3806.8882,"2-8-0-7"
"202","Tri",3808.8924,"6-6-0-6"
"203","Tri",3810.8718,"3-5-1-8"
"204","Tri",3821.8878,"4-6-1-6"
"205","Tri",3827.887,"4-5-0-9"
"206","Tri",3834.8832,"2-6-2-6"
"207","Penta",3836.8722,"1-8-0-8"
"208","Tetra",3838.903,"5-6-0-7"
"209","Tri",3847.8786,"0-6-3-6"
"210","Tetra",3851.8984,"3-6-1-7"
"211","Tetra",3864.8938,"1-6-2-7"
"212","Hexa",3866.9094,"0-8-0-9"
"213","Tetra",3868.9136,"4-6-0-8"
"214","Tri",3879.9296,"5-7-0-6"
"215","Tetra",3881.909,"2-6-1-8"
"216","Tri",3892.925,"3-7-1-6"
"217","Tetra",3898.9242,"3-6-0-9"
"218","Tri",3905.9204,"1-7-2-6"
"219","Tetra",3909.9402,"4-7-0-7"
"220","Tetra",3922.9356,"2-7-1-7"
"221","Tri",3924.9398,"6-5-1-6"
"222","Tetra",3935.931,"0-7-2-7"
"223","Tri",3937.9352,"4-5-2-6"
"224","Penta",3939.9508,"3-7-0-8"
"225","Tri",3941.955,"7-5-0-7"
"226","Polyhexose",3946.8962,"0-0-0-19"
"227","Tri",3950.9306,"2-5-3-6"
"228","Penta",3952.9462,"1-7-1-8"
"229","Tri",3954.9504,"5-5-1-7"
"230","Tri",3963.9622,"2-8-1-6"
"231","Tri",3967.9458,"3-5-2-7"
"232","Penta",3969.988,"2-7-0-9"
"233","Tri",3971.9656,"6-5-0-8"
"234","Tetra",3980.9774,"3-8-0-7"
"235","Tri",3982.9816,"7-6-0-6"
"236","Tri",3984.961,"4-5-1-8"
"237","Tetra",3993.9728,"1-8-1-7"
"238","Tri",3995.977,"5-6-1-6"
"239","Tri",4001.9762,"5-5-0-9"
"240","Tri",4008.9724,"3-6-2-6"
"241","Penta",4010.9614,"2-8-0-8"
