,dHex_count,HexNAc_count,NeuAc_count,Hex_count,mass,Glycan_type,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
0,1,-2,0,-3,1141.5416,Paucimannose,118.439612305134,0.990063982172007,22plus5,P7,P7-22plus5
1,0,-2,0,-2,1171.5522,Paucimannose,21.4602913695713,0.978428769809212,22plus5,P7,P7-22plus5
2,1,-2,0,-2,1345.6414,Paucimannose,36.7273956600028,0.986751958206926,22plus5,P7,P7-22plus5
3,0,-1,0,-2,1416.6786,Truncated,15.8844223877766,0.984335124292518,22plus5,P7,P7-22plus5
4,0,-2,0,0,1579.752,High mannose,588.820793601965,0.992116505946696,22plus5,P7,P7-22plus5
5,1,-1,0,-2,1590.7678,Truncated,44.3455480706069,0.923987863683849,22plus5,P7,P7-22plus5
6,0,-1,0,-1,1620.7784,Truncated,19.8430892104487,0.982370152990886,22plus5,P7,P7-22plus5
7,0,0,0,-2,1661.805,Truncated,14.3749348042014,0.975934095395994,22plus5,P7,P7-22plus5
8,0,-2,0,1,1783.852,High mannose,1108.83863138572,0.993355116853019,22plus5,P7,P7-22plus5
9,1,-1,0,-1,1794.8676,Truncated,92.0066726661102,0.969340810147569,22plus5,P7,P7-22plus5
10,0,-1,0,0,1824.8782,Hybrid,25.7367305907514,0.992260707194203,22plus5,P7,P7-22plus5
11,1,0,0,-2,1835.8942,Truncated,68.5027193820072,0.994435490310301,22plus5,P7,P7-22plus5
12,0,0,0,-1,1865.9048,Truncated,45.6407960710012,0.991639329733896,22plus5,P7,P7-22plus5
13,0,1,0,-2,1906.9314,Truncated,37.8772997009083,0.995472003900879,22plus5,P7,P7-22plus5
14,0,-1,1,-1,1981.9522,Truncated,38.5988995225393,0.928853003293993,22plus5,P7,P7-22plus5
15,0,-2,0,2,1987.951,High mannose,653.161073860889,0.986971027208246,22plus5,P7,P7-22plus5
16,1,-1,0,0,1998.9674,Hybrid,45.6091554915899,0.970943532901561,22plus5,P7,P7-22plus5
17,0,-1,0,1,2028.978,Hybrid,22.9970799154451,0.968014503036347,22plus5,P7,P7-22plus5
18,1,0,0,-1,2039.994,Truncated,249.165214025846,0.985221423851906,22plus5,P7,P7-22plus5
