"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"1","P7","22plus5","Core 1",534.2262,"0-1-0-1",453.620471327499,0.995215127156162
"283","P7","22plus5","STn",691.3002,"0-1-1-0",428.341464461549,0.940727905241088
"4","P7","22plus5","Core 1",708.3154,"1-1-0-1",287.499677446955,0.958004679240253
"2","P7","22plus5","Core 1",895.4,"0-1-1-1",360.412624574349,0.994613390415178
"6","P7","22plus5","Core 1",912.4152,"1-1-0-2",153.63794909863,0.857516138493568
"5","P7","22plus5","Core 1",953.4418,"1-2-0-1",1814.96657112295,0.996681710063525
"10","P7","22plus5","Core 2",983.4524,"0-2-0-2",634.124791170254,0.992485662499353
"7","P7","22plus5","Core 1",1069.4892,"1-1-1-1",29.6998034425363,0.662990375081277
"284","P7","22plus5","Polyhexose",1089.499,"0-0-0-5",52.7580731167053,0.973586291293449
"13","P7","22plus5","Core 2",1157.5416,"1-2-0-2",636.772358683297,0.995910488049003
"3","P7","22plus5","Core 1",1256.5738,"0-1-2-1",90.6508838539745,0.998200486326475
"9","P7","22plus5","Core 1",1273.589,"1-1-1-2",17.5635291132316,0.911204256227096
"285","P7","22plus5","Polyhexose",1293.5988,"0-0-0-6",21.3837348653063,0.981370038074217
"8","P7","22plus5","Core 1",1314.6156,"1-2-1-1",13.7899391651664,0.298130104850313
"20","P7","22plus5","Core 2",1331.6308,"2-2-0-2",66.7825476500237,0.989625910560012
"11","P7","22plus5","Core 2",1344.6262,"0-2-1-2",59.7366014407086,0.991996559420076
"15","P7","22plus5","Core 2",1361.6414,"1-2-0-3",19.1768193122102,0.99704259470705
"14","P7","22plus5","Core 2",1402.668,"1-3-0-2",80.413737723273,0.989971583635539
"33","P7","22plus5","Core 2",1432.6786,"0-3-0-3",31.0042848889612,0.998646965339622
"286","P7","22plus5","Polyhexose",1497.6986,"0-0-0-7",6.31517972941863,0.956314570268501
"28","P7","22plus5","Core 2",1505.72,"3-2-0-2",10.9379945305207,0.947286887355552
"16","P7","22plus5","Core 2",1518.7154,"1-2-1-2",64.5281762363464,0.992679874395584
"23","P7","22plus5","Core 2",1535.7306,"2-2-0-3",14.655427611895,0.527682749789995
"21","P7","22plus5","Core 2",1576.7572,"2-3-0-2",147.533129165329,0.99534342071025
"36","P7","22plus5","Core 2",1606.7678,"1-3-0-3",46.7588899967098,0.987053936787616
"25","P7","22plus5","Core 2",1692.8046,"2-2-1-2",6.97810750187046,0.960838737010821
"287","P7","22plus5","Polyhexose",1701.7984,"0-0-0-8",2.94146696943499,0.884722238738557
"12","P7","22plus5","Core 2",1705.8,"0-2-2-2",10.3045157040075,0.884722238738557
"31","P7","22plus5","Core 2",1709.8198,"3-2-0-3",2.44150761480596,0.884722238738557
"18","P7","22plus5","Core 2",1722.8152,"1-2-1-3",3.6319526816058,0.943272216158756
"24","P7","22plus5","Core 2",1739.8304,"2-2-0-4",4.14383355684286,0.63568074491677
"29","P7","22plus5","Core 2",1750.8464,"3-3-0-2",12.3654774722937,0.841757344447529
