,dHex_count,HexNAc_count,NeuAc_count,Hex_count,LacNAc_count,Glycan_type,mass,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
0,0,0,0,0,-1,Core 1,534.2262,453.620471327499,0.995215127156162,22plus5,P7,P7-22plus5
1,0,0,1,-1,-1,STn,691.3002,428.341464461549,0.940727905241088,22plus5,P7,P7-22plus5
2,1,0,0,0,-1,Core 1,708.3154,287.499677446955,0.958004679240253,22plus5,P7,P7-22plus5
3,0,0,1,0,-1,Core 1,895.4,360.412624574349,0.994613390415178,22plus5,P7,P7-22plus5
4,1,1,0,0,-1,Core 1,953.4418,1814.96657112295,0.996681710063525,22plus5,P7,P7-22plus5
5,0,0,0,0,0,Core 2,983.4524,634.124791170254,0.992485662499353,22plus5,P7,P7-22plus5
6,1,0,0,0,0,Core 2,1157.5416,636.772358683297,0.995910488049003,22plus5,P7,P7-22plus5
7,0,0,2,0,-1,Core 1,1256.5738,90.6508838539745,0.998200486326475,22plus5,P7,P7-22plus5
8,1,0,1,1,-1,Core 1,1273.589,17.5635291132316,0.911204256227096,22plus5,P7,P7-22plus5
9,2,0,0,0,0,Core 2,1331.6308,66.7825476500237,0.989625910560012,22plus5,P7,P7-22plus5
10,0,0,1,0,0,Core 2,1344.6262,59.7366014407086,0.991996559420076,22plus5,P7,P7-22plus5
11,1,0,0,1,0,Core 2,1361.6414,19.1768193122102,0.99704259470705,22plus5,P7,P7-22plus5
12,1,1,0,0,0,Core 2,1402.668,80.413737723273,0.989971583635539,22plus5,P7,P7-22plus5
13,0,0,0,0,1,Core 2,1432.6786,31.0042848889612,0.998646965339622,22plus5,P7,P7-22plus5
14,3,0,0,0,0,Core 2,1505.72,10.9379945305207,0.947286887355552,22plus5,P7,P7-22plus5
15,1,0,1,0,0,Core 2,1518.7154,64.5281762363464,0.992679874395584,22plus5,P7,P7-22plus5
16,2,1,0,0,0,Core 2,1576.7572,147.533129165329,0.99534342071025,22plus5,P7,P7-22plus5
17,1,0,0,0,1,Core 2,1606.7678,46.7588899967098,0.987053936787616,22plus5,P7,P7-22plus5
18,2,0,1,0,0,Core 2,1692.8046,6.97810750187045,0.960838737010821,22plus5,P7,P7-22plus5
19,1,0,1,1,0,Core 2,1722.8152,3.6319526816058,0.943272216158756,22plus5,P7,P7-22plus5
20,2,0,0,0,1,Core 2,1780.857,39.6927594593015,0.990436119611056,22plus5,P7,P7-22plus5
21,1,0,0,1,1,Core 2,1810.8676,4.80018301418126,0.95708475793232,22plus5,P7,P7-22plus5
22,2,2,0,0,0,Core 2,1821.8836,10.975503456231,0.996539140144901,22plus5,P7,P7-22plus5
23,1,1,0,0,1,Core 2,1851.8942,5.29742606987476,0.939829257338321,22plus5,P7,P7-22plus5
24,1,0,2,0,0,Core 2,1879.8892,7.58158994385181,0.97956115265624,22plus5,P7,P7-22plus5
25,0,0,0,0,2,Core 2,1881.9048,3.90544204554743,0.97956115265624,22plus5,P7,P7-22plus5
26,2,1,1,0,0,Core 2,1937.931,9.23053327173293,0.995704506284705,22plus5,P7,P7-22plus5
27,3,0,0,0,1,Core 2,1954.9462,8.73254577888299,0.960598207540318,22plus5,P7,P7-22plus5
28,1,0,1,0,1,Core 2,1967.9416,8.62829246200814,0.967895845211417,22plus5,P7,P7-22plus5
29,3,2,0,0,0,Core 2,1995.9728,17.9054784514192,0.996225459706524,22plus5,P7,P7-22plus5
30,2,1,0,0,1,Core 2,2025.9834,7.12031850110314,0.924334956201374,22plus5,P7,P7-22plus5
31,1,0,0,0,2,Core 2,2055.994,5.23897049636378,0.948612186729099,22plus5,P7,P7-22plus5
32,3,1,0,0,1,Core 2,2200.0726,7.33358100112414,0.97672178978501,22plus5,P7,P7-22plus5
33,2,0,0,0,2,Core 2,2230.0832,3.9129485805157,0.945289718875428,22plus5,P7,P7-22plus5
34,4,1,0,0,1,Core 2,2374.1618,3.17004992228126,0.983657377129267,22plus5,P7,P7-22plus5
35,3,0,0,0,2,Core 2,2404.1724,2.04965082915527,0.915187817216231,22plus5,P7,P7-22plus5
46,0,0,0,0,-1,Core 1,534.2262,272.473219501572,0.970957971405172,25plus3,P9,P9-25plus3
47,0,0,1,-1,-1,STn,691.3002,403.849818650894,0.920178172457592,25plus3,P9,P9-25plus3
48,0,0,1,0,-1,Core 1,895.4,92.0754214883906,0.91064878364112,25plus3,P9,P9-25plus3
49,0,0,0,0,0,Core 2,983.4524,173.025466037109,0.981106953852944,25plus3,P9,P9-25plus3
50,1,0,0,0,0,Core 2,1157.5416,136.265006456588,0.987260233190704,25plus3,P9,P9-25plus3
51,0,0,2,0,-1,Core 1,1256.5738,26.2078809278082,0.991911790919023,25plus3,P9,P9-25plus3
52,2,0,0,0,0,Core 2,1331.6308,18.2293917508466,0.98635910059503,25plus3,P9,P9-25plus3
53,0,0,1,0,0,Core 2,1344.6262,20.068196304564,0.999278436207505,25plus3,P9,P9-25plus3
54,1,0,0,1,0,Core 2,1361.6414,9.99060754578033,0.988797174908709,25plus3,P9,P9-25plus3
55,0,0,0,0,1,Core 2,1432.6786,10.815471277299,0.990249708336587,25plus3,P9,P9-25plus3
56,1,0,1,0,0,Core 2,1518.7154,66.9306739950153,0.993850670643019,25plus3,P9,P9-25plus3
57,2,0,0,0,1,Core 2,1780.857,28.9655605533749,0.993066067166941,25plus3,P9,P9-25plus3
58,1,0,2,0,0,Core 2,1879.8892,19.8042168585279,0.950337954474154,25plus3,P9,P9-25plus3
59,0,0,0,0,2,Core 2,1881.9048,2.32941250086691,0.950337954474154,25plus3,P9,P9-25plus3
60,1,0,0,0,2,Core 2,2055.994,4.14809201034325,0.962900521048274,25plus3,P9,P9-25plus3
61,1,0,0,1,2,Core 2,2260.0938,2.37243352794644,0.963830641886024,25plus3,P9,P9-25plus3
62,1,1,0,0,2,Core 2,2301.1204,2.07620665537352,0.920870202359935,25plus3,P9,P9-25plus3
63,0,0,0,0,-1,Core 1,534.2262,360.774189688429,0.997901225076026,20plus5,P4,P4-20plus5
64,0,0,1,-1,-1,STn,691.3002,393.018399472269,0.991141283511001,20plus5,P4,P4-20plus5
65,1,0,0,0,-1,Core 1,708.3154,885.440516913351,0.999933244932032,20plus5,P4,P4-20plus5
66,0,0,1,0,-1,Core 1,895.4,303.325336926346,0.996028917063194,20plus5,P4,P4-20plus5
67,1,0,0,1,-1,Core 1,912.4152,473.432979122648,0.996561970653832,20plus5,P4,P4-20plus5
68,0,0,0,0,0,Core 2,983.4524,1139.91087096216,0.997939398821135,20plus5,P4,P4-20plus5
69,1,0,1,0,-1,Core 1,1069.4892,50.3650316048876,0.986074135487335,20plus5,P4,P4-20plus5
70,1,0,0,0,0,Core 2,1157.5416,510.355127925253,0.996179354042311,20plus5,P4,P4-20plus5
71,0,0,2,0,-1,Core 1,1256.5738,166.786246454579,0.998577147400508,20plus5,P4,P4-20plus5
72,1,0,1,1,-1,Core 1,1273.589,19.8037092807554,0.99492238622063,20plus5,P4,P4-20plus5
73,2,0,0,0,0,Core 2,1331.6308,301.700426968146,0.98064306256774,20plus5,P4,P4-20plus5
74,0,0,1,0,0,Core 2,1344.6262,369.000768902453,0.992480785756197,20plus5,P4,P4-20plus5
75,1,0,0,1,0,Core 2,1361.6414,205.26147821643,0.994518835812494,20plus5,P4,P4-20plus5
76,0,0,0,0,1,Core 2,1432.6786,57.780686956071,0.99907640626293,20plus5,P4,P4-20plus5
77,1,0,1,0,0,Core 2,1518.7154,190.731738602804,0.929967709845418,20plus5,P4,P4-20plus5
78,2,0,0,1,0,Core 2,1535.7306,327.345183870997,0.99527157536354,20plus5,P4,P4-20plus5
79,1,0,0,0,1,Core 2,1606.7678,39.9495007409239,0.989738988004018,20plus5,P4,P4-20plus5
80,0,0,2,0,0,Core 2,1705.8,107.374221065565,0.977950144668846,20plus5,P4,P4-20plus5
81,3,0,0,1,0,Core 2,1709.8198,185.030766318903,0.977950144668846,20plus5,P4,P4-20plus5
82,1,0,1,1,0,Core 2,1722.8152,106.990770073101,0.968927822094441,20plus5,P4,P4-20plus5
83,2,0,0,2,0,Core 2,1739.8304,56.5668968839475,0.98591561048343,20plus5,P4,P4-20plus5
84,2,0,0,0,1,Core 2,1780.857,28.2152970456533,0.988340903537477,20plus5,P4,P4-20plus5
85,0,0,1,0,1,Core 2,1793.8524,16.0225331466609,0.983546705825633,20plus5,P4,P4-20plus5
86,1,0,0,1,1,Core 2,1810.8676,8.65429327533922,0.980091207757439,20plus5,P4,P4-20plus5
87,2,0,1,1,0,Core 2,1896.9044,112.504745245476,0.995848439068221,20plus5,P4,P4-20plus5
88,3,0,0,2,0,Core 2,1913.9196,55.609320090618,0.988173322684473,20plus5,P4,P4-20plus5
89,3,0,0,0,1,Core 2,1954.9462,12.19998057001,0.933651336628284,20plus5,P4,P4-20plus5
90,2,0,0,1,1,Core 2,1984.9568,9.82025873468979,0.937578400559253,20plus5,P4,P4-20plus5
91,1,0,0,0,2,Core 2,2055.994,4.90900958867701,0.988194706783446,20plus5,P4,P4-20plus5
92,4,0,0,0,1,Core 2,2129.0354,4.5692662188442,0.958429411544359,20plus5,P4,P4-20plus5
